N° Reseña,Título,Comentario,Puntaje,Puntaje (estrellas)
1197,Disaster!,Disaster!Customer support from hell.,Rated 1 out of 5 stars,1
1198,Don’t trust Airbnb,"Terrible experience with Airbnb. Avoid like the plague. I made a reservation , reservation got cancelled , account got suspended due to ‘suspicious activities’ because I made partial payment with a giftcard and covered the balance with my credit card. Now after cancelling my reservation, they are refusing to refund me the money paid for this reservation. To add salt to injury, the team that suspended my account, you can’t even reach them by phone, you have to chat via email. This whole ordeal is agonising painful. I’m so frustrated right about now",Rated 1 out of 5 stars,1
1199,they only charge fees,"they only charge fees, force hosts to use horrible payoneer which is charging again extra fees and keeping clients funds blocked, and giving zero support or customer service",Rated 1 out of 5 stars,1
1200,Will never use airbnb again,The host completely lied on our review saying we were disorganized. We were shocked as we left the apartment in mint condition. The host treated us awefully and somehow we were left with a bad review. Airbnb's support is non-existent and provide canned responses. Will never use airbnb ever again,Rated 1 out of 5 stars,1
1201,Poor service,"Poor service, cancel my reservation a day before without give me any reason, and no response, better to book hotel, hard for travelling with kids,",Rated 1 out of 5 stars,1
1202,DO NOT USE AIRBNB!!!!,"DO NOT USE AIRBNB!!!!! Our reservation cancelled on our way there with no explanation, and Airbnb customer service told me they would help cover the difference in cost in email and also on a phone conversation later. Once I booked a more expensive (obviously because it was the day of!) place to stay, Airbnb customer service called me to close the case. When I asked the woman about the assistance in covering the extra last minute cost difference, she said there was nothing they could do about it. After I had her reread the email from that morning, (which she stopped reading before she got to the part about the ""Air cover""  part, I probed her to look further in the email and read it and she never would read it aloud! When I read it to her, she stated, ""I'm sorry for the miscommunication but there's nothing I can do. The best I can offer is a $150 coupon towards a future stay."" I explained how that was putting us out over $500 that day and she just repeated the same statement, then said bye and hung up! I complained by email to customer service that I was deceived into spending more $ through their company and lied to by their agent and they have never responded!!!!!",Rated 1 out of 5 stars,1
1203,Everything,Sin comentario,Rated 1 out of 5 stars,1
1204,Paid for an apartment which right now doesn’t seem to exist,Have paid nearly £9000 for a family apartment several months ago Thought it was strange that I wasn’t receiving any response from the host.   So I tried to phone.  The host phone number was wrong.   Finally managed to find the host listed on the airbnb website but he doesn’t own the apartment.    I received a refund from Airbnb but I have lost all my money on flights and trips we had planned,Rated 1 out of 5 stars,1
1205,Don't trust Airbnb,"Airbnb (not my host) cancelled my reservation at the last minute with an automated message:""You told us you'd rather cancel your reservation than finish the last step of checking that you're really you"". However, I did not cancel nor was I asked for any ID verification. When I contacted Airbnb, I was told ""the computer did it"".  When I escalated to a ""specialist"", I was told that Airbnb was having trouble with the host over unresolved safety issues. They recommended three alternative properties that were poorly located and hundreds of dollars more. When I complained,  they offered me $20 discount on a $584/night property. All this caused me cancel my trip (andvolunteer role). BEWARE!",Rated 1 out of 5 stars,1
1206,Airbnb scams hosts for money,"A client decided to cancel because she booked a place that was too far away from her work. She lied to airbnb and said she was not comfortable, now they are taking my money and not refunding neither me nor the client",Rated 1 out of 5 stars,1
1207,Again airbnb is terrible,"Again, Airbnb are terrible. This is the second time in a row that they have been incredibly unhelpful. Our host cancelled just five days before our trip to Lisbon, leaving us scrambling to find accommodation for eight people.All Airbnb did was send us two alternative options—both nowhere near the same quality. They then offered a maximum of two £30 vouchers, but only £11 was actually deducted when booking.I’ve never left a review in my life, but good god, I have never experienced such a lack of care for customers",Rated 1 out of 5 stars,1
1208,I was  blocked   for NO   reason!,Sin comentario,Rated 1 out of 5 stars,1
1209,Record everything!,"This is as unbelievable as it is illegal and unnecessary. As a large corporation the childish petulance is astounding. Above all else from the below do not allow AirBNB to conduct any dispute by telephone, this is their preference for a reason! Any problems with them you need to have the information in black and white and all the chats captured. They insist on calling, every email is just a reference to a chat you have to log into, there is never any information provided out with their own system. There is actually terms in their emails warning not to divulge the information! They must believe they are above the law, maybe they are in some locations but not the UK!AirBNBs host listed a room, I booked the room, then realised they had a better room so cancelled the first and rebooked the 2nd immediately.Turns out neither room was actually available and the host offered a 3rd room at an inferior spec and wouldn’t cancel the original.AirBNB would only refund to credit, meaning I would need to use their service instead of an actual refund fully supported by UK law and VISA chargeback!This credit according to AirBNB cannot then be sent to my bank as they do not have that capability. Think about that for a second, they can use those funds to pay another unrelated host and their own commission but not give back to the original payee? And they expect people to believe this!After 3 days of getting absolutely nowhere with AirBNB I filed a PayPal dispute, they refused to answer that as well, informing me I should only contact them! the arrogance was unbelievable. This went on for 3 days, air BNB saying only contact them whilst making it impossible to do that by closing the chats I had been using (luckily I had been screen recording so had proof).Then when I informed them I have no intention of conversing direct as I need PayPal to record this they closed my account literally 2 minutes later, it was more like 90 seconds and gave me no way to retrieve my funds that were with AirBNB as AirBNB creditPeople imagine large corporations don’t/aren’t allowed to lie, airBNB are behaving illegally. OK, I used Paypal and to be fair PayPal investigated and refunded me (1 month later). If I had just paid direct using VISA then a VISA chargeback would have been successful as well. Any other payment method? Good luck? This activity was absolutely 100% illegal. Unarguable. They locked me out of my own money and closed my account. No contact details no login details, absolutely nothing other than chargeback.After I escalated with PayPal from dispute to claim I actually imagined that AirBNB knew they were wrong and would just accept it (since they would not respond to the dispute), they didn’t, they took my funds kept them with AirBNB as AirBNB credit, locked me out of that account so no access to those funds, didn’t respond to me or the PayPal dispute but then had the nerve to contest the PayPal claim! (I don’t have access to the info the provided but clearly it wasn’t sufficient!AIRBNB I’M MORE THAN HAPPY FOR YOU TO CONTACT ME REGARDING THIS ASTONISHING AND CLEARLY ILLEGAL BEHAVIOUR!",Rated 1 out of 5 stars,1
1210,Airbnb has been disappointing,"Airbnb has been disappointing. The service is no longer safe for guests, especially when traveling with children. Recently, we had a very unpleasant experience: after checking out, the hosts falsely accused us of damaging property that we didn’t even touch and demanded money. We reached out to customer support, but they simply sided with the hosts, ignoring our explanation. It feels like guest protection on Airbnb is practically nonexistent — any host can make baseless claims, and you’re left with either paying or having your reputation harmed. Additionally, finding accommodation suitable for a family with a young child and a school-age kid is already difficult — the filters don’t work well, and the actual conditions often don’t match the description. Hidden fees also make bookings more expensive. In the end, we were left with a bad experience and are no longer sure if we want to use this service again.",Rated 1 out of 5 stars,1
1211,Nah never again,"Nah never again will I book with airbnb. Booked a studio apartment in Paris...for a whole month. Turns out the studio is more of a closet, with an improvised shower and a share dirty bathroom down the hall. Top floor with no elevator and spiral staircases. Good luck with large luggage.  Called customer service.... they didn't not care. NEVER AGAIN",Rated 1 out of 5 stars,1
1212,Useless. It creates more harm than good,Sin comentario,Rated 1 out of 5 stars,1
1213,Pretty disappointing,"Pretty disappointingI have used Airbnb for 9 years now. I recently had a very bad experience with a host and was given a partial refund from Airbnb as the host refused to refund anything. Although I thank them for this, what I find really concerning is that unless the host reviews me, my review won't be published. This is completely wrong! If a host has been bad, they will purposely not do a review so they're review won't be seen! I should have the right for my review to be seen! The property i stayed in was unsafe and I can't believe meets building safety standards, yet I can't advise potential new customers that should have honest reviews. I am so disappointed and surprised that Airbnb operate how they do. They have a responsibility for guests happiness and safety. Anyone who uses them, should have their review seen.I had a place in Murapasa, host was Anna. She didnt warn us there was renovation work being don't and the noise and mess was awful. Because we complained, when we left the place in perfect order, she then tried to accused us of stealing our own amazon firestick! I was astonished! Bad people on Airbnb and they seem to get away with it when the guest can't leave their truthful review. Biased and dishonest people at Airbnb, so disappointed they can allow a building in such a poor state on their books. 'Renovation' work seems to have been going on at the place for years by past reviews.  Guests safety isn't important it seems",Rated 2 out of 5 stars,2
1214,A host named Elias bases on Stockholm…,"A host named Elias bases on Stockholm canceled our 7 day stay reservation on Stockholm after asking for our social media profiles which he can't even ask for (based on the terms of AirBnb). Anyway after we sent him our instagram names of our profiles which are private too, he canceled our reservation with a simple "" i can't host you and your friend, i hope you can find a better accommodation. Is he allowed to do that? and is it based on discrimination because my friend is not white? anyway i will file a complaint about this and if not resolved i will file a lawsuit.",Rated 1 out of 5 stars,1
1215,Airbnb refused to accept responsibility for misleading host listing and policy violation,"Host hid additional cash costs to be paid on arrival deep in its listing under 2 seperate sub menus. These additional charges were not included in the price break down at point of booking as per Airbnb policy. Airbnb support centre declined all responsibility for host listing, or their policy violation, as they are a platform only. Their commitment that they offer clear and transparent pricing at point of booking on their website is untrue. You might as well book direct with the host cheaper for all the protection and help they provide. Very disappointed.",Rated 1 out of 5 stars,1
1216,Was overcharged over $110.support was…,Was overcharged over $110.support was very unhelpful,Rated 1 out of 5 stars,1
1217,Worst company,"Worst company. Worst staff. Worst Behavior, Worst Home owner on Airbnb",Rated 1 out of 5 stars,1
1218,Air bnb are total scam artists do not trust,"There's a reason why so many bad reviews. They took my money and are all for the hosts, they do not care about customers.Tried to get a refund but their customers service is totally useless.",Rated 1 out of 5 stars,1
1219,They wanted me to chase down a useless…,"They wanted me to chase down a useless employee, some how to book. I don't get paid to chase their mistakes and platform issues",Rated 1 out of 5 stars,1
1220,Airbnb ILLEGAL in Thailand,"Hi I'm an English solicitor (lawyer) based in Bangkok. I live in Condo Building and like 99% of the residents we own our homes.Under Thai law (which is very strict) daily renting of homes is illegal under 30 days. To do Airbnb the host must apply for a hotel licence. Over the past few years Airbnb in our building has increased and causing misery and distress to the residents. We have formed a residents committee and are involving the police.Airbnb publicise an information sheet on Thailand which is wholly inadequate as it does not spell out that it is illegal here. What more is there to say? Guests should not book in Thailand, Airbnb are being irresponsible and putting profits before local laws. Let me repeat: Airbnb is illegal. Hosts of a condo unit cannot get a hotel licence as a condo is not a hotel.This is our home and every day the residents have to do battle with Airbnb guests. What do Airbnb do? Nothing as they are happy making the profits. Why does Airbnb not check the Thai laws and ban the platform in Thailand unless a host (such as a hotelier) can produce their hotel licence. I doubt they will reply or it will be a template response: ""we will consider all your points seriously as we are aware of our online worldwide responsibilities "" which is double speak for "" get lost loser, we have money to make.""Please Airbnb do the right thing here adopt a different paradigm for Thailand before something seriously goes wrong as we are at breaking point.",Rated 1 out of 5 stars,1
1221,Host cancels paid booking without reason,"We booked 9 months before, because we want a beautiful house and everything. We are with a group of 10, so it is not easy to find a date which suits everybody. We paid so it looks all ok, but now 8 weeks before the host cancels. Why??The property is still on line but not this period. I think such host should be suspended from the platform.",Rated 1 out of 5 stars,1
1222,Used them in the past which they were…,"Used them in the past which they were fine however they have turned into a scam of a company.Firstly last year, I booked an apartment 5 months before going on holiday. Less than a month before we were going and the host cancelled. Prices for places had then shot up by hundreds of pounds. Airbnb didn't care and we have to fork out the money because the host cancelled on me.Secondly my partner got scammed during a time of illness and sleep deprived. It was a gift card bought through Amazon which Airbnb couldn't cancel even though we got in contact within the hour. They stated the Amazon reference has no link to them and that Airbnb is not the seller of the gift cards on Amazon which it clearly says the seller is Airbnb. They can't put you through to any other department let alone the first time I spoke over the phone it sounded like a party, couldn't hear my name 5 times and got my phone number wrong constantly. They want want to avoid any conversation unless it's kept to the same script. Signing off every message with ""Rest assured your experience is our priority"" is an insult.There is a reason they never respond to any views on Airbnb. Never use them again.",Rated 1 out of 5 stars,1
1223,Theives,Looking back I realized it was all a grand scheme to take all the money I had at the time.,Rated 1 out of 5 stars,1
1224,⚠️ ⚠️  Beware of Airbnb Host Scams,"Airbnb abandoned us after a host’s fraudulent damage claim.We had a terrible experience with an Airbnb in Malaga, Spain(December 2024). The host falsely accused my 14yo of breaking the shower drain, causing a leak in the downstairs apartment. However, the neighbors confirmed this was an ongoing issue that had never been fixed!We provided Airbnb with proof, but they sided with the host and tried to charge us €863 in damages. On top of that, we had to book an expensive last-minute hotel (€896) since the apartment was unlivable!Airbnb’s lack of support left us stranded in a foreign country on Christmas eve, dealing with an angry neighbor and a dishonest host. We wouldn’t wish this stress on anyone!⚠️ Think twice before booking on Airbnb—if anything goes wrong, they will take the host’s side, even in clear cases of fraud! ⚠️ Unethical and irresponsible",Rated 1 out of 5 stars,1
1225,Do not trust AIrbnb,"Do not trust AIrbnb. Stayed in columbus Ohio at ""jungle house"" that is the name of townhouse. Being charged $500 clean fee because we had a dog even though it is dog friendly. Owner said airbnb is charging us this fee. Neither has disclosed why 'excessive cleaning"" was needed. We have a small  old dog and did not leave it dirty and followed exiting instructions. There were other dogs previous our stay,  because we couldn't use back yard because of excessive dog excrement. Owner gave us a 5 star review and offered discounts for next stay. Someone is trying to pad their pocket.",Rated 1 out of 5 stars,1
1226,Poor experience. Never again.,Booked a holiday. Money was taken from my account only to receive a message 12 hours later that the property owner wanted to increase the rental by 50% (£800) I declined and cancelled but still waiting for refund to be credited to my account. Will avoid in future and stick to booking.com.,Rated 1 out of 5 stars,1
1227,You all need to be fair equally,I don't think they are quit fair when it comes to guest and their reviews some of the reviews by guest us done threw spite and anger when they come to scam home owners and can't have a refund whatsoever they write Airbnb goes with and agreed with and that us so wrong ?,Rated 1 out of 5 stars,1
1228,Horrible cust.service,They suspended my listing and told me o d be contacted in less than 48h. It has been over 3 weeks and they only apologise a d promise to call me soon again and again... 3 weeks and im losing money because pf their useless staff!!!,Rated 1 out of 5 stars,1
1229,Their service sucks couldn't cancel…,"Their service sucks couldn't cancel reservation after 10 minutes of booking,my review and completed didn't get posted, the owner disputed and Airbnb  granted him taking my review of",Rated 1 out of 5 stars,1
1230,Don’t waste your time and money they…,Don’t waste your time and money they list everything as available and then take your money which you have to wait up to 15 days to get it back customer services was terrible couldn’t even answer my question nor could I even understand her due to her thick accent shit needs shutting down asap,Rated 1 out of 5 stars,1
1231,Student Studying Abroad,"Student Studying AbroadAs a student studying abroad in Europe, I want to experience Europe fully and travel on my weekends. Three times now, I've tried to book with Airbnb with large and small groups. Every time I try to book, I'm given the message that I am a ""party risk"" and cannot book. I've switched to using VRBO and have had no issues booking and have a 5-star rating as a guest. These issues come with no prior Airbnb experience. I've never booked with them before and have no history with them as a guest, yet they won't even give me the chance to book.  After numerous phone calls across many numerous weeks and numerous emails sent back and forth, they maintain their stance on not letting me book.If you are a student studying abroad and plan to travel, save yourself the stress of booking with Airbnb and just use VRBO instead.",Rated 1 out of 5 stars,1
1232,I was told that if I reported a listing…,"I was told that if I reported a listing for damages and for being fictitious, that I would be protected and host could not post against me. Now I have a deflamatory, false post claiming I was intoxicated. I offered Airbnb, to take a drug or alcohol test to prove I wasn't, yet host's comment is still on my profile with fake accusations.My post included pictures with facts, to protect other upcoming guests from items listed, that are NOT in apartment. To prevent them from getting scammed by electricity charges, not mentioned on Airbnb listing or via checkin host.I reported items not provided or listed by Airbnb by host and damaged as an act of good faith. You don't know, unless we tell you. Property owners and host may also not be aware unless informed. You can't fix what you don't know.Now, my name is destroyed. Host's faticious and derogatory post was refused to be removed by Airbnb and I can NOT comment on my review or that of host. Which gives the assumption the host was correct, when it was a concoction of lies and deceit to protect her, without providing facts, factual proof or data.I was also told by another Airbnb representative, that voice recordings were stored in a back office and unaccessible, and were unable to be used as digital voice recordings to verify my claims. Aren't these mutual recordings to protect me as well????My stay at 231 Brakkeput Abou was traumatic and terrified me and my 3 animals. 6 days later, they're still hiding and these animals trust me with their lives!I'm hurt and I'm furious! I also feel bamboozled!6 days after I checked out and reported listing as not being 100% accurate, it still stands in it's original form. Nothing has been done to remedy the situation or to make 231 Brakkeput Abou's listing factual, they're still inaccurate. Which in the US, is considered false advertising.Host, Marijolein, I highly suspect, is also posting under superhost's profile. Which includes same wording and writing style as Marijolein. Isn't this identity theft or false representation?How is any of this legal and why was I told I would be protected due doing the right thing, yet, my name is now mud? My name and my reputation is ALL I HAVE!!! And now is destroyed from trying to protect your future guests from this property.",Rated 1 out of 5 stars,1
1233,Horrible as a host,Horrible as a host. The money received less than the sent because they didn't send it properly. There is lost amount and I spent a lot of time with them to figure out it and still not resolved. I talked to many of them every one starts from zero with me and waist a lot of time.Im still suffering from ignorance and no any clarification where is the missing payments.,Rated 1 out of 5 stars,1
1234,Airbnb refusing to delete my account and personal data,I wish to delete my Airbnb account and for it to remove all my data. It is refusing to do so unless I provide it with further personal data. This is despite the legal requirement under Article 18 for it to delete all data if its client requests it. This company is getting out of hand. I decided to leave because recently tried to book a UK cottage (I’m a Uk citizen and resident) it required far more personal information and data than other Uk websites do,Rated 1 out of 5 stars,1
1235,"Disappointing is how I can describe my dealings with the platform, AirBnB.","I've been running a holiday business in Greece for twenty years; villas in olive groves with expansive sea and mountain views. Peace and tranquility. As much estate bottled extra virgin olive oil as you can consume. Mine is a legal business: tax paying, tourist authority and chamber of conference registered. I'm a five star host, but why is AirBnB so difficult to work with? Let me have a look at the platform reviews on Trustpilot I thought, out of interest. The answer is, AirBnB get 1.3 stars out of 5. Not good. Reading the reviews, I am disappointed, disillusioned even, although I can understand and directly relate to how the platform works only in the interest of the platform itself, uniformly (seemingly) against the interests of both hosts and guests. It's a difficult business, demanding skill, knowledge and investment, something that AirBnB simply don't seem to understand or bother with. Currently AirBnB is a titan like Uber and Amazon, sweeping everything else aside. Unpopular titans don't tend to last unless they learn, change, understand and appreciate their business beyond simply profit margins. This is something hosts understand very well. It's been difficult and not very satisfactory, my period on the AirBnB platform. There's too much reliance on AI it seems, too much faceless, nameless automation; no personal service, no attention to detail. They strongly encourage reviews of hosts and guests; hypocritically calling this a community and yet they don't like, don't encourage, don't react to or respond to constructive feedback themselves, not of the platform AirBnB. Disappointing is how I can describe my dealings with the platform, AirBnB.",Rated 1 out of 5 stars,1
1236,The most terrible customer service,"The flat was absolutely disgusting! It was not cleaned after the previous customers. Beds were as the previous customer left them after sleeping, bins full of rubish, bathroom with hair/stickers inside the bathtab, lounge in a mess with dirty towels lying around. Clearly, cleaners did not turn before we arrived. Moreover, beds in the bedroom upstairs had cushions covered with towels, which looked like someone before us was clearly not happy with the cleaniness of the place. The host was unreachable by messages and calls. I got in touch with the customer service and they were unhelpful for two hours claiming that they are following their procedure, then I have requested a call from the supervisor to wait another hour before moving the situation forward. After 3h of phone calls with the b&b customer service, we were told  that we can cancel the booking and will be issued a refund + 20%, which is not enough to find a place on Saturday at 6pm in London. We had no option on Saturday evening having arrangements and appointments for the evening, but stay in the place in the disgusting flat, absolutely owful experience, which I don't wish anyone. Once I re-booked it, the host answered straightaway and promised to clean the place, which had never happened! Sleeping in a dirty flat is not what you want to experience! I will never book via airb&b again!",Rated 1 out of 5 stars,1
1237,Short term rental is illegal in…,Short term rental is illegal in Thailand.Airbnb should know that. It is against both immigration laws and the hotel act. Customers will get fined and deported.,Rated 1 out of 5 stars,1
1238,Airbnb not compensating costs when host cancels booking 1-hour before check-in - disgusting service,"We had a booking for 5 people (one 5-months pregnant) in Bath. Our host then WhatsApp messages me an hour before check-in to let us know the reservation has been cancelled.We then have to scramble to find new accommodation with very little help from Airbnb and finally we book the cheapest option they send which is applicable to our party size. This new accommodation is almost double the price of our original accommodation.Due to their ‘policy’ they offer us a 20% discount, but the discount is taken from the original accommodation cost, so it doesn’t even begin to cover the new accommodation costs. We have to book as it’s now 3pm and, as said, we’re panicking due to having someone pregnant in the group.In total we’ve had to pay £176 out of our pockets due to Airbnb’s host cancelling on us, which they will not pay us back for in compensation. I’m then offered a €100 voucher by one staff member, only to be pushed to a more senior member who can only offer $50?! Just complete mess with different currencies and their lack of care to even attempt to cover the full cost.It’s disgusting the lack of care they have for customers. I’m actually stunned I’m having to fight for compensation when we were the ones who were inconvenienced. Avoid using them at all costs!",Rated 1 out of 5 stars,1
1239,Airbnb’s Poor Support and Unsafe Property Experience,"I had an extremely disappointing experience with Airbnb that has left me frustrated and concerned. During my stay at a property booked through Airbnb, a large tree branch fell and damaged my car due to the host's lack of property maintenance. The situation was not just inconvenient—it was dangerous. The branch fell in a high-traffic area where children were present, and it could have caused serious harm if it had landed on someone.I immediately reported the incident to both the host and Airbnb, providing photos and evidence of additional hazardous branches on the property. The host dismissed the issue, refused to take responsibility, and did nothing to ensure safety for future guests.I reached out to Airbnb for support, but the process has been nothing short of a nightmare. My claim was passed between “specialized teams” more than a dozen times, with over 100 messages and several phone calls. Despite assurances that I would be reimbursed, my claim disappeared from their system, and I have yet to receive a resolution months later. It is 5 months later and Airbnb still failed to respond to my case whatsoever!This lack of accountability and poor customer service is unacceptable. Airbnb not only failed to address a clear safety hazard but also neglected to follow through on their promise to resolve the matter.I want to warn others about Airbnb’s inability to handle serious issues effectively. If you encounter problems, don’t expect them to take responsibility or prioritize your safety.",Rated 1 out of 5 stars,1
1240,Recently stayed in a property where the…,"Recently stayed in a property where the host said “no smoking” but the house smelt like stale cigarette smoke. From the fact the smell was embedded into everything makes me think that the host is a heavy smoker.The host admitted that smoking was taking place within an area of the premises, yet sees no problem with advertising the property as non-smoking and that they cannot smell it.I moved out the next day and Airbnb were very helpful in the process. I use Airbnb a lot and it’s comforting to know that they have a process for handling situations like this.",Rated 5 out of 5 stars,5
1241,Airbnb cancelled my booking after taking payment twice,"I booked a cottage in the Cotswolds for a couple of night in May, booking process was so complicated having to supply driving licence, photo and prove ID etc.  I paid in full and was told I would get confirmation email.  I went to bed at 10.30pm, at 11.15 I was sent an email asking me to confirm my ID again but didn’t see it due to sleeping.  At 3.15am I received an email cancelling the booking due to not proving ID and a further email informing me that I would receive a refund.  The following morning I signed in to their app which asked me to confirm my ID, again, where they confirmed they accepted me to make a booking but then took another payment in full for the cancelled booking.  After many emails and phone calls they finally accepted that they had taken a payment twice after I sent them a copy of the transactions on my bank account but informed me it could take up to 15 business days for the refund.  I finally got the refund after a week!!!! If you are running a business that covers many countries you have to adapt the that country’s times not give deadlines for 3.15am to be answered by.  Also I understand that the hosts do not receive a penny until guests check into their properties so Airbnb are sitting on all that money in the meantime earning them interest on top of their fees.  Will never use them again, just wish I had read the reviews first!!!",Rated 1 out of 5 stars,1
1242,Dirty lying robbing scammers,Dirty lying robbing scammers using a scam advertising property as available take.your money instantly from bank account then send email saying its fully booked their refund protocol takes 15 days to return your stolen money then they re advertise it instantly to another mug take their money they do this up to 50 people per day NEVER USE AIRBNB FIND THE HOST BOOK DIRECTLY THES3 ARE JUST DIRTY LYING ROBBING SCAMMING BASTARDS,Rated 1 out of 5 stars,1
1243,Misrepresented property and scammy way to charge for a hotel room,"An interesting way to make money: the Host lists a room that is actually just a hotel room, charges double the normal rate, and makes the reservation non-refundable.@Airbnbcannot issue a refund, and this is allowed under their Terms.",Rated 1 out of 5 stars,1
1244,Airbnb has literally taken ver 14000…,Airbnb has literally taken ver 14000 after making on reservation on stays that aren’t even on my profile asked me to not take legal procedure and they will settle to now a month of bullcrap to say they will not fix this fraud and they got the money where I’m not able to evacuate if needed,Rated 1 out of 5 stars,1
1245,Terrible company to work with if…,Terrible company to work with if anything goes wrongWill never use air bnb again.DO NOT RECOMMEND,Rated 1 out of 5 stars,1
1246,Do not trust the ““support”” and their policy,"I have been on the platform for over 5 years and for the first time I needed support. I arrived at the property and it was visible different to the photos, very dirty inside and outside of the rented room. The bath was impossible to use and my partner and I needed to go to a gym to be able to shower for the whole stay. After speaking with the host as soon as we arrived, and getting a very vague answer I contacted support within 24 hours and I felt even more unsupported, they could not understand properly what was my issue even if it was said on the phone and over message. After asking for a manager all the messages sent (at random times) were requesting an action giving me a limited time to answer, which made me feel even less cared. They offered to refund the cleaning fee and made it clear that I needed to be glad that they were doing that. After I sent a message where I made it obvious that I wasn't happy they just closed my case.I am not looking for money, just my rights!",Rated 1 out of 5 stars,1
1247,AirBNB Aruba Ripoff,"Waykiri Vacation Rentals - January 2025.Worst “ocean view” misrepresentation in the history of travel lodgings. Instead of sea sounds, you wake to chickens in row houses. Ocean can be seen with telescope or binoculars. False representations on allergenic pillows. Pictures available for both.",Rated 1 out of 5 stars,1
1248,Airbnb changed my life.,"Airbnb changed my life.I have been a happy client for 14 years, I use it to travel and to host, and the customer care is on point.Plus, the insurance is perfect, and the community using it is kind and respectful.Thank you!",Rated 5 out of 5 stars,5
1249,Book hotels instead,"Book hotels instead, avoid using airbnb",Rated 1 out of 5 stars,1
1250,Just registered my account and then it…,"Just registered my account and then it was locked without reason ,I even dust use the service ,support team know nothing..just don’t try do business with them",Rated 1 out of 5 stars,1
1251,Terrible experience with Airbnb,"Terrible experience with Airbnb. The property was filthy, completely misrepresented in the listing, and the host was unresponsive. Customer support didn’t help either to resolve the issue.",Rated 1 out of 5 stars,1
1252,Guest refund with no authorization,"I am host for airbnb over 6 years, and they took a decision to refund a guest without my authorization, and I don't agree because the problem was solved in less than 2 hours, no life was at risk, no damages occurred, there was no electricity, water and supply cut. They simple decided to give refund with no clear evidences, and without asking me.",Rated 1 out of 5 stars,1
1253,"SCAM!! DO NOT USE, HOTELS ARE BETTER","What a JOKE. House says 180$ a night when you go to book it it's 586$ a night?? This is FALSE ADVERTISING. You guys are OPERATING ILLEGALLY.10 years ago this was a cool app. Nowadays it's a SCAM.HOMES ON THIS APP ARE NOT LIVABLE, AND MOST ARE GROSS.MOLD AND TOXINS EVERYWHERE.HOTELS ARE MY GO TO NOW. CANT WAIT TILL THIS APP AND VRBO CRASH AND BURN.I AND MY WHOLE FAMILY WILL NEVER USE AIRBNB OR VRBO AGAIN. CHINESE SCAM ARTIST COMPANIES.",Rated 1 out of 5 stars,1
1254,Horrible Experience – Safety Concerns Ignored and Poor Customer Support,"I’ve been a loyal Airbnb user for over 8 years, but this last trip was the final straw that led me to close my account. My family’s vacation turned into a stressful ordeal, primarily because the host’s property was far from child-safe.•	Unsafe Furniture: None of the furniture was secured to the walls. When my 1-year-old tried to open a drawer, the whole piece nearly toppled over and actually fell on her once. We had to keep constant watch to prevent any further accidents.•	Injury from Pool Card: To make matters worse, a metal clip attached to the swimming pool access card ended up striking my 1-year-old’s eye, leaving it bruised. We were extremely concerned about potential vision damage.•	Host’s False Damage Claims: The host accused us of damaging the apartment and demanded money, yet never provided any proof. I refused to pay and raised these serious safety concerns with Airbnb.•	Airbnb’s Lack of Support: Despite my clear evidence of safety issues, Airbnb took the host’s side, showed no real concern for our family’s well-being, and ultimately did nothing to address the situation. The host even posted a negative review on my profile, and Airbnb refused to remove it—demonstrating they care more about profits than about prioritizing guests’ safety and peace of mind.Given these experiences, I can’t, in good conscience, continue using Airbnb. Our family’s safety should be paramount, but it became evident that was not Airbnb’s priority. I’ve chosen to delete my profile and will never book through Airbnb again. If you’re traveling with children—or value proper customer support—think twice before relying on this platform.",Rated 1 out of 5 stars,1
1255,I'm generally very happy with my experience,"I'm generally very happy with my experience with Airbnb. Some places I have stayed have not been up to my standards of cleanliness, but I just cleaned what needed and got on with it. If I am being charged for cleaning then I don't clean too much, but I do get feedback saying that I left the accommodation in good order. Never had problems with cancellation. I always leave a review, good or bad.",Rated 4 out of 5 stars,4
1256,I Booked an accommodation through…,"I Booked an accommodation through airbnb, that turned out to be belvilla[.]com posing as the host on airbnb.After getting confirmation, I called the provided number by airbnb with some question about the accommodation, they then suddenly said that the accommodation was having difficulties and was being renovated and that they would cancel my stay. which has not happened yet so I might even have to fight for my money.airbnb has got to screen their partners/hosts.",Rated 1 out of 5 stars,1
1257,'Customer Service doesn't exist',"Yeah, had an extremely poor experience with a host in Chile (in which their washing machine flooded the apartment) on a nearly $400USD rental, and the host refused to refund me $100USD when I spent 2 hours preventing damage to their carpet and walls. Airbnb simply state 'they can't make the host credit anything'. So Airbnb just collects their fee and moves on? Terrible service when we were trying to do the right thing and be reasonable, but ended up with dirty clothes/towels from the cleanup; clothes that we couldn't even wash due to the broken washing machine. Thanks, Airbnb. A loyal user of over 100 stays that will now look elsewhere first before coming back.",Rated 1 out of 5 stars,1
1258,What happened to Airbnb'c customer…,What happened to Airbnb'c customer service? They were great but over the last couple months the level of service has been going down. Now it is not any better than Booking.com. I am a host and it has been a pain to deal with them.,Rated 1 out of 5 stars,1
