Título,Comentario,Puntaje
No es serio,"Tanto el personal que atiende como el mismo jefe padecen un transtorno bipolar profundo: ahira si, luego no; este si, aquel no; hoy si, mañana no. De verdad que està pirorqueria queria cotitza en Borsa? O por lo menos asi lo pretendian. Porque no cierran esto de una vez!",Valorada con 1 estrellas sobre 5
Pésima experiencia antes de siquiera…,"Pésima experiencia antes de siquiera alquilar. Estuvimos buscando durante un par semanas alguna propiedad para alquilar; primera señal de alerta te daba un precio y al contactar para alquilar, eleva el precio un 20%. Dejamos pasar por alto ese incidente y seguimos buscando la mejor opción. Dias después por fin nos decidimos, aceptamos el precio alto y procedemos al paso de la reservación.. tomamos las mentadas fotos de la identificación y la personal, inclusive envío mensaje al propietario para avisarle que ya habíamos apartado y de pronto me bota la aplicación  me intento loguear tres veces y nada.. la última vez que lo intento me dicen que fui bloqueado por seguridad... hago el proceso de reclamación y lo único que recibo 12 horas después es un correo diciendo que validaron la actividad de mi cuenta y me expulsan definitivamente. Nada que ver con booking la verdad lo mejor que me pudo haber pasado luego de leer las opiniones de otras personas aquí es no tener nada que ver con ellos.",Valorada con 1 estrellas sobre 5
airbnb = mucha jeta,"se puede definir con una sola palabra:CARADURAS.Reservamos un apartamento hace dos meses,pagamos la reserva sin posibilidad de anulacion,obligacion de pagar,la compañia nos anula la reserva despues de dos meses y nos dice que nos busquemos otro apartamento,el que habiamos alquilado ya no esta disponible,sin ninguna explicacion,poca o ninguna seriedad y un tufo a que han alquilado el apartamento mas caro de lo que me ofrecieron a mi..MORALEJA SI QUIERES QUE TU VIAJE SALGA MAL ALOJATE CON AIRBNB,Fdo.JUAN CARLOS GARCIA SAIZ",Valorada con 1 estrellas sobre 5
Vergonzoso,"Me he alojado hace unos días a tavés de Airbnb. El alojamiento no tenía absolutamente nada que ver con lo que ofrecían. Siguiendo su petición escribí mi experiencia absolutamente negativa y cual es mi sorpresa que leo en los comentarios solo algo que escribí relacionado con el ""jardín"" y las ranas. No volveré a contratar con ellos .Aunque la culpa es mía por no haber contratado como hago siempre con Booking. No consigo encontrar en la página web de Airbnb la forma de decirles lo mismo que estoy escribiendo ahora.",Valorada con 1 estrellas sobre 5
Servicio nefasto.,"Servicio nefasto.Llevo años trabajando con ellos como anfitriona y utilizando la página como viajera y nunca he tenido malas experiencias. En los últimos meses me he tenido que poner en contacto dos veces y en ninguna de las dos ocasiones han sido capaces ni han tenido ganas de ayudarme en solucionar mi problema. El personal me parece cada vez menos calificado, no te envían la hoja de reclamación si se la pides y no saben hacerse responsables del mal funcionamiento de su página.",Valorada con 1 estrellas sobre 5
Presunto estafador Robin Auch,"Presunto  estafador del afitrion Robin Auch.Cuando sale del apartamento de Auch me reclama 1390 euros por todos los daños causados.Busque un abogado para estudiar si está reclamación era correcte.El problema está cuando salí del apartamento no he echo vídeo al salir y la entra con fecha y hora para demostrar el contrario.Aparnento nórdico quemado calefacción 19 grados mando a distancia fallaba las pilas.Comunique atraves de la plataforma al afitrion me mando un mensaje para subir la calefacción.He hecho la traducción no entiendo nada.Me enferme con un resfiado con soy asmática se complicó todos tenía fiebre me fui la farmacia de Auch me ha dicho que fuera al Hospital por el tema del coronaviros .Cuando llegue en mi lugar de residencia Andorra fui al médico y tenía una neomania.Al final de una estoy muy desafortunada.Mi abogado solicito atraves de mi las factura para valorar los daños que reclamaba el afitrion.No tenía ninguna factura y la factura que tenía era 5 años .Ne pedía un parket nueno una Enciemera ,mesa, sábanasPintura de la pared.Conclusio con la ayuda de mi abogado solo pague 58,38 euros .Cuidado con los afitrionesDurante mi viage de Andorra Auch no he podido llegar la hora ,porte en el camino hubo 3 accidentes.Me Desplacer a dormir aPau porque el afitrion no pifie recibir porque había toque de queda.Al llegar a Pau encontré la Policía tube muchos problemas ,pero le expliqué los hechos me dejó pasar.El día siguiente el afitrion me ha recibido por llame la plataforma.El se molestó mucho por pedir ayuda la Plataforma.",Valorada con 1 estrellas sobre 5
Estafadores piso calle Hernán Cortés Zaragoza,"Hola, por favor tener mucho cuidado son estafadores, y no ingresáis dinero a nadie solo a través de la página Airbnb, aunque os mandan facturas y correos con el símbolo de airbnb es falso, fijaros bien que siempre los enlaces tienen que comenzar con https, y cuando tocáis el símbolo de airbnb tiene que abrir la página oficial.Me pasó con una mujer que se llama María Teresa Fernández Tejero carra....me pidió que le ingresara el dinero y me mandó factura y contrato con el símbolo de airbnb falso. No era replica de la página era solo un dibujo muchooooo cuidado son estafadores y si te das cuenta y pides explicación te bloquean, no me han llegado a estafar pero lo querían hacer, menos mal que me dé cuenta de esto, fijaros bien sobre todo ingresar el dinero por la página no a los particulares",Valorada con 1 estrellas sobre 5
"Nada recomendable, es una estafa","Nada recomendable. Mejor reservar con otras páginas. Todas las reseñas que hay en su web son mentira ya que sólo dejan las opiniones que les interesa para vender y facturar más...  Y las evaluaciones de alojamientos y anfitriones también son falsas y mentira, nada que ver con la realidad.",Valorada con 1 estrellas sobre 5
Alquiler para vivienda,"Hola, estoy leyendo vuestros comentarios. Yo he visto un piso para alquilar como vivienda habitual, en San Sebastián de los Reyes, Madrid. En la avd. Murcia, 8...Quisiera saber si habéis tenido experiencias con esta vivienda.La verdad, la anfitriona me contesta muy tarde (igual es porque trabaja en Suiza) pero me huele mal... un piso de 90m2, dos dormitorios y dos baños...por 550€ es muy barato.Qué opináis?Gracias, karol",Valorada con 1 estrellas sobre 5
El día 28 de diciembre de 2020 reserve…,"El día 28 de diciembre de 2020 reserve en Madrid un apartamento, esto lo hice cuando se podía viajar, posteriormente suspendieron y confirmaron Madrid ygran parte de España, comentar que mantuve varios correos con el propietario preguntando qué pasaría si a causa de la pandemia sucedía lo que posteriormente sucedió, me dijo que no había problema que me reembolsarian el 100x100 de lo pagado, no quedo más remedio que anular la reserva, que ya había pagado, mi sorpresa fue que me devolvieron el dinero, pero al 50%, pero esto no quedo así, encima me descontaron los gastos de limpieza  del apartamento, cómo podéis imaginar volví a enviar correos al propietario, pero sin respuesta, plantee mi queja a Airbnb, silencio absoluto, vergonzoso, el apartamento en cuestión es ÁTICO EN MADRID LE TEMP PERDU, puedo incluir todos los correos, no esperaba esto de esta empresa.Deberíamos poner todos nuestras quejas, reconozco que no es mucho dinero, pero no es cuestión de cantidad si no de formalidad, en este caso ninguna.",Valorada con 1 estrellas sobre 5
Aviso para Anfitriones,"Cuidados si queréis alquilar vuestra vivienda con Airbnb. Soy anfitrión desde hace 3 años, por primera vez he tenido un problema con unos huéspedes que me han destrozado el apartamento, una empresa ha tasado los daños en 2882€ y la garantía de Airbnb solo se hace cargo de 272€ (después de tantos años de ganancias con mi anuncio) mucho cuidado si queréis alquilar vuestra vivienda por esta plataforma ya que estáis totalmente desprotegidos.",Valorada con 1 estrellas sobre 5
Estafa en casa en Huétor Vega (Granada) por la anfitriona Maria Luisa.,"Pésima experiencia con Airbnb porque no ha defendido mis intereses como cliente ante una anfitriona estafadora. Reservé la casa en Huétor Vega justo antes de que llegara la pandemia en marzo. Ante la imposibilidad de poder viajar hablé directamente con ella y quedamos en dejar la fecha pendiente para otra ocasión, pensando que la pandemia sería algo temporal. Me insistió en que no me pusiera en contacto con la agencia, y volví en varias ocasiones a hablar con ella para reclamarle el dinero. Debo dejar claro que no he estado en esa casa por la imposibilidad de la situación provocada por la Covid. La última vez que hablé con ella me dijo que debía reclamarlo a la agencia y que por su parte no había problema para la devolución, ya que había sido por causa de fuerza mayor, y que ella no tenía el dinero, ya que la empresa no se lo daba hasta que no usara el servicio. Mi sorpresa es que cuando contacto con la agencia me dicen que deben hablarlo con Maria Luisa, pues es ella la que decide qué hacer. Intento contactar de nuevo con Maria Luisa y me tiene bloqueada en el móvil. La agencia me responde que Maria Luisa tiene el dinero y no me lo quiere dar por su política de cancelación. Por tanto, me mintió en todo lo que me dijo y puedo calificarla de estafadora. Igualmente la agencia también lo es, pues aún sabiendo que yo llevo razón no atienden mi demanda y siguen trabajando con ella para que siga engañando a más gente. Me gustaría poder hablar con ella directamente, pero como he dicho me tiene bloqueada y no quiere dar la cara.TANTO AIRBNB COMO LA SEÑORA MARIA LUISA NO CUMPLEN CON LO ACORDADO. POR FAVOR TENGAN MUCHO CUIDADO DE RESERVAR CON ELLA.Por cierto, no he estado esa casa y figura detalladamente la hora y el día en el que entré y salí. ¿Cómo puede ser eso? Alguien me lo explica.",Valorada con 1 estrellas sobre 5
no defiende al ususario ante…,"no defiende al cliente (""huesped"") ante condiciones abusivas de ciertos ""anfitriones"", esto hace que ""piques"" en una bonita oferta y pierdas dinero",Valorada con 1 estrellas sobre 5
Tuve que ancelar un viaje por COVID,"Tuve que ancelar un viaje por COVID, el anfitrión me había cobrado una fianza, eso fue en diciembre, pues estamos casi en febrero y ni recibo respuesta por parte del anfitrión ni tampoco por parte de los administradores. ESto es una autentica vergüenza y estoy dispuesta a ir a los tribunales para recuperar lo que es mío aunque me cueste el dinero. El apartamento es un loft que pertenece a Un tal Rui y es el loft Ribera enn Oporto. Ni se ha molestado en contestarme.... Una vergüenza total!!! Unos ladrones!!!!!",Valorada con 1 estrellas sobre 5
Airbn es peor que una dictadura,"Le pondría un cero. Son unos sinvergüenzas, soy de Santander y cuando llegue a Cádiz para ir a la habitacion que alquile por 5 días, me lo cancelan estando allí!! O sea que te dejan tirado en la calle! Y como anfitrión, llego a mi domicilio una individua desde Galicia que se invento  todo lo q quiso hablando mal de mi piso, que todo era mentira y airbnb la hace caso a esa individua mal nacida, reclamando yo que no estaba de acuerdo, que era  una mentirosa y airbnb me cancela mi cuenta con ellos y me castiga también con la cancelacion de mi reserva en Cádiz! Son unos sinvergüenzas y sabéis que os digo: que le den.. a airbn!! que yo ahora viajo y hospedó desde otras páginas web",Valorada con 1 estrellas sobre 5
Nos sentimos estafados por Airbnb.,"Nos sentimos estafados por Airbnb.Hicimos un viaje a Tenerife reservando en dicha plataforma más que conocida por todos.Al llegar de nuestro viaje quisimos dar nuestra opinión sobre el alojamiento dando nuestro punto de vista y puntos a mejorar sobre la estancia. (Siempre respetando su política de valoraciones).Cual fue nuestra sorpresa que días más tarde a nuestra valoración y sin motivo nos borraron nuestra opinión.Según la plataforma Airbnb y en su escrito nos manifestaban que no incluíamos suficiente información.. algo totalmente falso y contrastable.Solo les hago una pregunta a posibles clientes de dicha plataforma, busquen si encuentran alguna valoración negativa sobre hospedajes y anfitriones en dicha plataforma. No la van a encontrar, simplemente no les interesa ya que viven de eso.Espero poder ayudar a posibles clientes y denunciar nuestra experiencia.Saludos.",Valorada con 1 estrellas sobre 5
Plataforma confiable y sencilla.,"Siempre he tenido buenas experiencias cuando me he alojado en AIRBNB, gran servicio, ayuda por parte de los propietarios.",Valorada con 4 estrellas sobre 5
Vergonzoso cancelan aún pagado v,"Tienes que saber que aunque tengas confirmación elanfitriónn cancela la reserva cuando quiere. En mi caso después de dos meses pagodo el anfitrión concelo con este texto:Hola Axxxxx, siento mucho tener que cancelar, pero esta reserva me entro indebidamente,antes de actualizar los precios.En dos meses no se dio cuenta sabes. Ojo Airbnb no tiene nada que decir, así que ojo al dato. Vergonzoso",Valorada con 1 estrellas sobre 5
Pésimo,"Pésimo, sólo quieren cobrar y después se olvidan.....Puse una queja sobre un "" apartamento"" en valladolid y no hicieron nada.....siguen anunciando el mismo apartamento, el cual cambia de precio cada 10 minutos por cierto....Pagina nada recomendable ni de fiar....",Valorada con 1 estrellas sobre 5
"Hoy me ofrecían un piso a precio irrisorio con múltiples comodidades a un precio  poco normal en estos tiempos, puesto en contacto con el supuesto propietario me dice que un agente de AirBnb nos daria","Hoy y dandome el nombre de la empresa AirBnb llevaba supuestamente el piso que yo pretendía alquilar negándose a que se visitará hasta que firmase el contrato con un Agente de su empresa, ha sido un timo y tengo los datos de los correo con el supuesto dueño.",Valorada con 4 estrellas sobre 5
Ocupación de casa con 15 personas,Hace años que lamentablemente soy anfitriona de airbnb. Al principio era una buena plataforma luego se  ha complicado cada ves mas.Estoy con una reserva de 7 personas y han ocupado la propriedad 15 personas! hice la denuncia a Airbnb y lo único que hicieron ha sido de contactar por telefono al  huesped... y ninguna solucione!  Ademas por  cancelacion de reserva a causa de Covid no he recibido absolutamente nada!,Valorada con 1 estrellas sobre 5
Política de cancelación penosa,"Estoy muy desilusionada con la política de Airbnb. Reservé un apartamento en Lisboa y, por la pandemia, no pudimos viajar pues estábamos confinados en la provincia. Reclamé para que me devolvieran el dinero y me dijeron que no, que lo sentían pero que la pandemia no estaba cubierta en las cancelaciones. Penoso todo. Ya no usaré más esta página",Valorada con 1 estrellas sobre 5
Dos veces estafas de anfitriones,"Hola dos veces caí en estafas estoy desilusionada, primero la estafa que me hicieron es llevarme a "" sentro de resoluciones"" para robarme más de 300 euros  sin ni siquiera avisarme por una puesta de escena que hicieron los anfitriones para sacarme todo el dinero que quieren, dios y ahora intente por segunda  vez sin saber que fue lo que había pasado antes por que el app ayuda a robar a los huéspedes y  pase por lo mismo, la habitacion no es lo que nos decían fue un robo total me  llevaron otra vez a lo mismo y exigen  muchísimo dinero  por mentiras y engaños, dios que alguien investigue a Esmat Elsayed  de Bruselas ( Bélgica) y Jules ferry de Lille( Francia) por que el sentro de resoluciones es una estafa y el app mantiene tus datos para secretamente robarte a tu cuenta bancaria",Valorada con 1 estrellas sobre 5
REEMBOLSO 100% POR COVID-19,"Soy de República Dominicana. Hice una reserva hace unos días para mi y mi novio que venía desde España. Lamentablemente, fui diagnosticada con COVID-19 unos días antes del viaje, por lo que tuve que cancelar la reserva. Me comuniqué con Airbnb vía twitter y rápidamente me pusieron en contacto con un representante de servicio al cliente a través de la app de Airbnb y solo tuve que envíar foto de los resultados de la prueba y unos minutos después habían cancelado la reserva y habían reembolsado todo el dinero a mi cuenta.",Valorada con 5 estrellas sobre 5
Muy descontenta con Airbnb,"Muy descontenta con Airbnb. Teníamos que viajar a un pueblo con muy pocos alojamientos ... hice una búsqueda por disponibilidad, y encontré solo dos opciones disponibles para las fechas. Nos decidimos por una casita, e hice la reserva; por supuesto Airbnb me pasó el cobro por adelantado inmediatamente. A las 24 horas recibo un mensaje del hospedador diciendo que lo siento; pero que la casa ya está ocupada y me cancela la reserva.¿Perdona? ¿Y porqué aparece en Airbnb como disponible? Finalmente, al ir a buscar otra alternativa para quedarnos, ya estaba todo completo y nos quedamos sin poder viajar a esa zona. Y lo peor de todo, una semana después Airbnb no me había devuelvo el dinero de la reserva que decidieron cancelarme. Menudos caraduras.",Valorada con 2 estrellas sobre 5
Soy anfitrión,"Soy anfitrión. Air B&B es  lo mejor.Yo tengo 5 estrellas , ninguna evaluación de 4. Soy Alfonso Perdrix, y me reservan de un año para otro. No hay una plataforma más serie que Air B&B. Doy fe.",Valorada con 5 estrellas sobre 5
estafadores,"Son una panda de estafadores, solo les importa ganar dinero a costa de robar a los uusuarios",Valorada con 1 estrellas sobre 5
Le doy un 0 por mi parte,"Le doy un 0 por mi parte, tenìa reserva para noviembre y justo nos confinaron, pedì que me devolvieran el dinero y me pusieron su politica de devoluviòn que solo me devolvian  el dinero si yo o mi anfitrion cogiamos el covid ,  despues de pelear me dieron la opcion de cambiar de fechas y cambiè por no perder dinero pero no  volvere a  utilizar airbnb ni loka!  Es una caca",Valorada con 1 estrellas sobre 5
Unos ladrones,"Unos ladrones, eso es lo que son.Reserva hecha el 1- 02 para ir a Colmar, Francia, del 6 al 13 de Diciembre.Cuando las cosas por el Covid estaban empeorando en Octubre consulté para anular.Habíamos adelantado 519,5 €. La política de cancelación era devolución del 50%, teniendo en cuenta que el 1-02 la situación en Europa era normal.El 19 de Octubre, en Navarra, nos confinan, teniendo cierre perimetral hasta el 18 de Diciembre ya que,tenemos los mayores índices de casos de toda España durante varias semanas.Decido anular y en ppio, que no me devolvían nada, tras ""pelearme"" mediante correos, me devolvieron 195€. Otros 195€ se quedó Corine, la propietaria en Colmar y 129,5 los de Airbnb, por gastos de gestión. ¿ De gestión?,¿ gestión de qué ?, sino hemos salido de Navarra...Unos sinvergüenzas y ladrones.Por cierto, Air France me devolvió los 5 billetes.El alquiler del coche, tb devolvieron el 100% , sin cuestionarnos nada.",Valorada con 1 estrellas sobre 5
Airbnb es la forma más segura de viajar.,"Airbnb es la forma más segura de viajar y hospedar. Para los anfitriones como yo, nos llega a cubrir hasta 50.000€ en daños causados por nuestros huéspedes.Puedes alquilar alojamiento únicos y con calidad airbnb, y ante cualquier problema responden muy rápido en su teléfono 911234567. Existe una gran diferencia entre el tipo de cliente de Airbnb y otras web similares.El único problema que le veo, que es necesario invertir bastante tiempo para dar con el alojamiento perfecto. Todas las políticas de cancelación están definidas previamente, pero claro a la gente se le olvida leer.Gracias Airbnb por ofrecernos está plataforma de calidad y poder ofrecer nuestros alojamientos con garantías.",Valorada con 5 estrellas sobre 5
Cuidado!!,Cuidado!!! No reservéis nada con ellos!!!Perdéis el dinero si no podéis viajar por el Covid!!!!!Se quedan con los gastos de gestión mínimo y es mucho dinero!!!!!!!!!!!!A mi ya me han visto..,Valorada con 1 estrellas sobre 5
Airbnb no se merece ni una estrella,Airbnb no se merece ni una estrella. Saben cobrarle a los huéspedes por adelantado pero dilatan el pago a los anfitriones.Muy mala experiencia.Solicitan cambiar la forma de cobro en reiteradas oportunidades y así retardan el pago.Muy mala experiencia como anfitrión.Carmen AlonsoUruguay,Valorada con 1 estrellas sobre 5
La catedral de Jerez,Mi valoración negativa es para la política de Airbnb por permitir q se saque rendimiento de la pandemia q nos está tocando sufrir. Mi anfitrión se ha negado a la devolución del importe total del alquiler 24 horas después de contratado cuando supimos del cierre total de las comunidades de orígen y destino.,Valorada con 1 estrellas sobre 5
Pongo 1 Estrella porque no puedo poner…,Pongo 1 Estrella porque no puedo poner 0. No me dejan eliminar el anuncio. No me dejan gestionar mi cuenta. Ni un teléfono de contacto ni de atención al cliente. ESTA EMPRESA ES UNA ESTAFA.,Valorada con 1 estrellas sobre 5
Airbnb UNA ESTAFA,ESTA EMPRESA ES UNA ESTAFA!!!!!!!!!! NI SE LES OCURRA RESERVAR NADA Y MUCHO MENOS DAR DINERO POR ADELANTADO. RESERVÉ 1 MES EN TENERIFE UN APARTAMENTO  Y EL MISMO DÍA DE ENTRADA ME ENVIAN CORREO QUE ME CANCELAN LA RESERVA Y QUE TARDARÁN ENTRE 2 Y 5 DÍAS EN DEVOLVER EL DINERO........ NO ME HAN DEVUELTO NADA .🤬🤬🤬🤬🤬🤬🤬🤬,Valorada con 3 estrellas sobre 5
Más económico  que los hoteles,"Hemos tenido buena experiencia  con Arbn, genial",Valorada con 3 estrellas sobre 5
Soy viajero y anfitrión de Airbnb,"Soy viajero, principalmente por Europa, en coche y siempre que he contratado con Airbnb me ha ido bien.Como anfitrión de Casa la Cuesta Blanca en Valdeganga(España), siempre me ha funcionado muy bien. Nunca he tenido problemas con la compañía.",Valorada con 5 estrellas sobre 5
"Empresa arbitraria, deshumanizada y abusiva.","Empresa arbitraria, deshumanizada y abusiva.He leído muchas opiniones de que AirBnb no ayuda a los huéspedes. Yo soy anfitrión y las jugarretas que nos hace son infinitas, ni os lo imagináis. Toman decisiones arbitrarias, hacen lo que les da la gana, no les importan ni huéspedes ni anfitriones e imponen su criterio.Un ejemplo: quieres poner un anuncio y después de más de tres horas creándolo, te piden que envíes tu DNI y luego que te hagas un selfie para comparar la foto con la del DNI. Hay una algoritmo lamentable que compara las caras y....cuidado con cambiar el peinado, llevar barba, estar moreno, engordar, quedarte calvo, etc. El patético algoritmo no te reconoce comparándote con el DNI y NO hay ninguna persona que te ayude yo llamé y me dijeron: ""Lo sentimos es un proceso automático"", ""sí ya veo que es Usted, pero lo tiene que decidir una máquina"", ""pues debe Usted cambiar el DNI para que se parezca a su cara actual o aféitese para hacerse el selfie"", jaaa jaaa, si claro y eso por llevar barba de una semana. Un DNI caduca en 10 años, pero a Airbnb no le parece bien que haya diferencias con nuestra cara de hace 10 años. Al parecer tienes que renovarte el DNI si te sale un grano en la cara o mantener tu peinado, barba, peso, pelo, moreno y tu aspecto en 10 años JAAA JAAA es de chiste!!Y luego....sorpresa, para validar que eres el dueño, ""te enviaremos una carta postal a la dirección del apartamento en 4 semanas con un código para ver si eres el dueño"" ¿¿¿¿COMOOO???? ¡que barbaridad! ¿No vale con un recibo de la luz? ¿Agua? ¿IBI? ¿Escrituras? ¿Comunidad? ¿Hay que bloquear 4 semanas el anuncio con la que está cayendo? ¿Y por correo postal? ¿Hemos vuelto al siglo XIX? ¡Lamentable!O bien avalan y aceptan opiniones negativas si no cancelas gratis o aceptas chantaje de huéspedes, incluso con grabaciones telefónicas, te dicen que ""es lo que hay"" y luego te dicen...uyy tu anuncio tiene malas reviews, quizás lo quitaremos. Así que hay que ceder en todo y ser como perros sumisos si no quieres que te chantajeen los huéspedes o te de una patada Airbnb.O aleatoriamente te dicen...vamos a validar tu identidad enviando un SMS a tu teléfono, PERO SI ES UN FIJOOOOOOOOO de centralita, Dios mío que barbaridad.Ahhh vale, pues te llamarán con una grabación....a ver, repito, ES UNA CENTRALITAAAAAA, hay que marcar opciones de idioma.Respuesta al llamar: ""lo sentimos no podemos hacer nada, es un proceso automático"".Precisamente tengo centralita para que JAMÁS se pierda una llamada por ""no tener cobertura"" y un cliente no pueda contactarnos y te castigan por eso.Es una empresa pensada para la Sra. Maria con su pisito, pero si eres profesional te castigan!!!No dan la talla, pero cobrar cobran.¿SIGO? Podría seguir...pero quiero vomitar solo pensar en lo abusivos, arbitrarios y poco humanos que han sido conmigo, se me remueven las tripas.Pero ya caerán, estas actitudes se pagan.¿Creeis que los huéspedes estáis maltratados por Airbnb???  pues los anfitriones el doble...",Valorada con 1 estrellas sobre 5
A Airbnb el huésped no le empotra - es solo negocio,"Súper enfadada con air bnb. Y ahora he comprendido que manipulan las opiniones y que solo avalan a los anfitriones, el huésped está completamente desprotegido.Reservamos en julio Para la noche vieja un apartamento en Boih (de una tal Leonor, que tiene por lo menos 3 apartamentos). Es un Pueblo pequeño, no hay muchas opciones. Con lo que reservamos con mucha antelación para garantizar disponibilidad y precio. Pagamos una parte por adelantado. Hoy, 12/10 me cancelan la reserva diciendo que Leonor no es la dueña, solo lo gestiona y que es para el uso de la dueña en esta fecha (todos lis que tiene en esta zona? O para sacarle una mayor tajada ya que ahora los precios van subiendo? ). Y yo me quedo sin vacaciones porque ya no hay nada disponible y lo que queda vale por lo menos doble... y tengo que ir allí porque mi familia está allí.Y resulta que air bnb no me compensa ni ayuda ni nada. A la duell lo a le cobrarán 50€ por cancelar y se la soplará... estos 50 se lis qyeda Airbnb (lis nas perjudicadis, claro). Y yo - no puedo ni dejar una opinión. Claro, así está, solo 4,9 la súper Leonor. Porque si quieres escribir lo sin vergüenza que son - no puedes.Así que nunca más usare los servicios de Airbnb, ni un duro a esos sin vergüenzas. Y buscaré la forma de amargarle el negocio a Leonor. Confío que el Karma también lo haga.",Valorada con 1 estrellas sobre 5
Anfitrión USURERO en Plentzia,"Una gran estafa,el anfitrión  ( Javi de Plentzia) es un USURERO y Airbnb permite y respalda los robos y estafas de algún anfitrión.No lo recomiendo para nada.En nuestro caso,al cancelar la reserva,(tardamos 50 mins entre hacerla y echarnos para atrás ) el anfitrión nos ha robado 93e,digo robado porque no hemos disfrutado del alojamiento,pero se ha quedado con nuestro dinero.Mal airbnb por permitir políticas tan abusivas.Todos queremos ganar dinero,pero no robando tan descaradamente y siendo un usurero.Nunca más volveré a contar con esta opción de alojamiento y por supuesto que voy a seguir peleando por recuperar nuestro dinero",Valorada con 1 estrellas sobre 5
Ya no es lo que era,Ya no es lo que era. Mal servicio y cambios a peor en las directrices y normas del sistema informático.,Valorada con 1 estrellas sobre 5
Escribo por que vuestra página para…,"Escribo por que vuestra página para solicitar información  ya presenta dificultades a la hora de buscar, no me quiero  imaginar contratar con ustedes.... Fatal!!!",Valorada con 1 estrellas sobre 5
Buena experiencia,"He usado esta app solo dos veces. Una en Almería y otra en Madrid. En Almería, la experiencia fue muy buena. En Madrid, ha sido mala. Me cambiaron las condiciones de la reserva, poco antes de acudir, y tuve que dormir en otro sitio. La anfitriona daba todo tipo de excusas para no cancelar la reserva.Días después, abrí una reclamación y me puse en contacto con el equipo de Airbnb. Me atendieron rápido, a pesar de ser tarde. Les pasé las conversaciones de WhatsApp y quedó todo zanjado en menos de 24 horas. Además, me dieron un pequeño cupón de descuento por las molestias.Creo que Airbnb es una oportunidad. Los particulares pueden ofrecer sus viviendas y nosotros podemos disfrutar de alternativas al hotel. Sin Airbnb, las opciones de los consumidores serían más escasas.",Valorada con 5 estrellas sobre 5
Nunca más Airbnb,"No volveré a utilizar esta plataforma, no se involucran con las estafas que hacen sus anfitriones, al contrario, ellos cobran y que nos den a los estafados. Es una vergüenza que después de demostrar que me han engañado, ni siquiera quiten el anuncio estafador. No alquiles nunca y en san Sebastián, a una tal Cristina ni de lejos. Es un garaje, manipula muy bien con las fotos que sube. Un asco, de alojamiento y de persona.",Valorada con 1 estrellas sobre 5
Buenas noches son unos estafadores…,Buenas noches son unos estafadores alquile un piso de un anuncio y cuando hice todo incluido ingreso a la hora de presentarse a darme las llaves nadie apareció .El anuncio en concreto es.Piso moderno en alquiler en la calle Nuncio de Leganés MadridEl que lo alquila es un tal Marcelo BeltranMucho cuidado con este anuncio,Valorada con 1 estrellas sobre 5
Mentirosos y no asumen responsabilidades,"No. 1.667 de 1.692 ·Buenas tardes, he alquilado varías veces con Airbnb y lo había teñido problemas, hasta este verano 2020 que reservé una casa en Cullera, Valencia. La casa no cumplía con lo que decía la descripción, decía con vistas al mar y a pie de playa y no era cierto, estaba cerca pero tenía una casa delante, que por supuesto quitaba cualquier vista al mar. En pleno verano de pandemia COVID-19 y la casa están en unas condiciones higiénicas inaceptables. Intentamos pasar los días que habíamos pagado y nos fue imposible, la casa se están cayendo, no tenía vistas al mar, tuve que limpiarla para medio estar en algunos sitios me marché antes de las 5 noches pagadas, estuvimos solo 3 por la incomodidad y Airbnb se ha desentendido de mi problema y ha dado el caso por cerrrado.Hay muchos sitios para alquilar mejor que Airbnb, por ejemplo “Booking.com” ahora alquila apartamentos y casas y la aplicación “Holidu” funciona de maravilla y son súper serios. Sólo os cuento mi experiencia para que evitéis problemas,Lo he pasado muy mal, perdí mi dinero y vacaciones",Valorada con 1 estrellas sobre 5
Lamentablemente nuestra experiencia ha…,"Lamentablemente nuestra experiencia ha sido un desastre, nos cobraron por un servicio x dinero, eso se entiende, pero es que el resultado de la experiencia con el alojamiento fue muy decepcionante, un lugar sucio, viejo y destartalado, con fotos que engañan,",Valorada con 1 estrellas sobre 5
Airbnb ¡LADRONES!,"Airbnb, reserve para pasar mis vacaciones en Oregon, pero en este momento hay incendios y hay orden de evacuación para él área en que rente, intente llamar a servicio al cliente pero nadie contesta, no me quedo más que cancelar en línea y se supone que si cancelas por causa de fuerza mayor (desastre natural) te deben hacer el reembolso al 100% y resulta que me quitaron $700 dólares Solo me devolvieron $580 ¡NO USEN Airbnb son unos estafadores!😡😡😡😡",Valorada con 1 estrellas sobre 5
Es una MACROEstafa,"Es una MACROEstafa, todo AIRBNB debería desaparecer....poco a poco y tiempo al tiempo.",Valorada con 1 estrellas sobre 5
